"STATISTIC Label","Year","Type of Offence","UNIT","VALUE"
"Recorded crime incidents","2008","Other drug offences","Number","731"
"Recorded crime incidents","2008","Weapons and Explosives Offences","Number","4028"
"Recorded crime incidents","2008","Explosives, chemical weapons offences","Number","47"
"Recorded crime incidents","2008","Discharging a firearm","Number","223"
"Recorded crime incidents","2008","Possession of a firearm","Number","452"
"Recorded crime incidents","2008","Offensive weapons offences (n.e.c.)","Number","2973"
"Recorded crime incidents","2008","Fireworks offences","Number","333"
"Recorded crime incidents","2008","Damage to property and to the environment","Number","44341"
"Recorded crime incidents","2008","Arson","Number","2301"
"Recorded crime incidents","2008","Criminal damage (not arson)","Number","41736"
"Recorded crime incidents","2008","Litter offences","Number","304"
"Recorded crime incidents","2008","Public order and other social code offences","Number","62072"
"Recorded crime incidents","2008","Disorderly conduct","Number","53584"
"Recorded crime incidents","2008","Trespass offences","Number","3723"
"Recorded crime incidents","2008","Liquor licensing offences","Number","3849"
"Recorded crime incidents","2008","Prostitution offences","Number","131"
"Recorded crime incidents","2008","Regulated betting/money, collection/trading offences","Number","430"
"Recorded crime incidents","2008","Social code offences (n.e.c.)","Number","355"
"Recorded crime incidents","2008","Offences against government, justice procedures and organisation of crime","Number","13191"
"Recorded crime incidents","2008","Offences against government and its agents","Number","340"
"Recorded crime incidents","2008","Organisation of crime and conspiracy to commit crime","Number","11"
"Recorded crime incidents","2008","Perverting the course of justice","Number","174"
"Recorded crime incidents","2008","Offences while in custody, breach of court orders","Number","12666"
"Recorded crime incidents","2009","Homicide offences","Number","99"
"Recorded crime incidents","2009","Murder","Number","53"
"Recorded crime incidents","2009","Manslaughter","Number","10"
"Recorded crime incidents","2009","Infanticide","Number","0"
"Recorded crime incidents","2009","Dangerous driving leading to death","Number","36"
"Recorded crime incidents","2009","Sexual offences","Number","1546"
"Recorded crime incidents","2009","Rape of a male or female","Number","363"
"Recorded crime incidents","2009","Defilement of a boy or girl less than 17 years old","Number","109"
"Recorded crime incidents","2009","Sexual offence involving mentally impaired person","Number","8"
"Recorded crime incidents","2009","Aggravated sexual assault","Number","10"
"Recorded crime incidents","2009","Sexual assault (not aggravated)","Number","957"
"Recorded crime incidents","2009","Other sexual offences","Number","99"
"Recorded crime incidents","2009","Attempts/threats to murder, assaults, harassments and related offences","Number","18917"
"Recorded crime incidents","2009","Murder-attempt","Number","7"
"Recorded crime incidents","2009","Threat to kill or cause serious harm","Number","227"
"Recorded crime incidents","2009","Harassment and related offences","Number","2811"
"Recorded crime incidents","2009","Assault causing harm, poisoning","Number","3718"
"Recorded crime incidents","2009","Other assault","Number","12154"
"Recorded crime incidents","2009","Dangerous or negligent acts","Number","15031"
"Recorded crime incidents","2009","Dangerous driving causing serious bodily harm","Number","17"
"Recorded crime incidents","2009","Driving/in charge of a vehicle while over legal alcohol limit","Number","13295"
"Recorded crime incidents","2009","Driving/in charge of a vehicle under the influence of drugs","Number","873"
"Recorded crime incidents","2009","Endangerment with potential for serious harm/death","Number","65"
"Recorded crime incidents","2009","Abandoning a child, child neglect and cruelty","Number","506"
"Recorded crime incidents","2009","Unseaworthy/dangerous use of boat or ship","Number","3"
"Recorded crime incidents","2009","False alarm/interference with aircraft or air transport facilities","Number","21"
"Recorded crime incidents","2009","Endangering traffic offences","Number","251"
"Recorded crime incidents","2009","Kidnapping and related offences","Number","142"
"Recorded crime incidents","2009","False imprisonment","Number","84"
"Recorded crime incidents","2009","Abduction of person under 16 years of age","Number","13"
"Recorded crime incidents","2009","Human trafficking offences","Number","45"
"Recorded crime incidents","2009","Robbery, extortion and hijacking offences","Number","2524"
"Recorded crime incidents","2009","Robbery of an establishment or institution","Number","1034"
"Recorded crime incidents","2009","Robbery of cash or goods in transit","Number","24"
"Recorded crime incidents","2009","Robbery from the person","Number","1337"
"Recorded crime incidents","2009","Blackmail or extortion","Number","25"
"Recorded crime incidents","2009","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","104"
"Recorded crime incidents","2009","Burglary and related offences","Number","27526"
"Recorded crime incidents","2009","Aggravated burglary","Number","370"
"Recorded crime incidents","2009","Burglary (not aggravated)","Number","26724"
"Recorded crime incidents","2009","Possession of an article (with intent to burgle, steal, demand)","Number","432"
"Recorded crime incidents","2009","Theft and related offences","Number","76911"
"Recorded crime incidents","2009","Theft/taking of vehicle and related offences","Number","13316"
"Recorded crime incidents","2009","Theft from person","Number","2635"
"Recorded crime incidents","2009","Theft from shop","Number","20547"
"Recorded crime incidents","2009","Other thefts, handling stolen property","Number","40413"
"Recorded crime incidents","2009","Fraud, deception and related offences","Number","5228"
"Recorded crime incidents","2009","Controlled drug offences","Number","21865"
"Recorded crime incidents","2009","Importation of drugs","Number","46"
"Recorded crime incidents","2009","Cultivation or manufacture of drugs","Number","271"
"Recorded crime incidents","2009","Possession of drugs for sale or supply","Number","3965"
"Recorded crime incidents","2009","Possession of drugs for personal use","Number","16759"
"Recorded crime incidents","2009","Other drug offences","Number","824"
"Recorded crime incidents","2009","Weapons and Explosives Offences","Number","4092"
"Recorded crime incidents","2009","Explosives, chemical weapons offences","Number","48"
"Recorded crime incidents","2009","Discharging a firearm","Number","233"
"Recorded crime incidents","2009","Possession of a firearm","Number","402"
"Recorded crime incidents","2009","Offensive weapons offences (n.e.c.)","Number","2980"
"Recorded crime incidents","2009","Fireworks offences","Number","429"
"Recorded crime incidents","2009","Damage to property and to the environment","Number","41906"
"Recorded crime incidents","2009","Arson","Number","3009"
"Recorded crime incidents","2009","Criminal damage (not arson)","Number","38650"
"Recorded crime incidents","2009","Litter offences","Number","247"
"Recorded crime incidents","2009","Public order and other social code offences","Number","57481"
"Recorded crime incidents","2009","Disorderly conduct","Number","49543"
"Recorded crime incidents","2009","Trespass offences","Number","3836"
"Recorded crime incidents","2009","Liquor licensing offences","Number","3265"
"Recorded crime incidents","2009","Prostitution offences","Number","94"
"Recorded crime incidents","2009","Regulated betting/money, collection/trading offences","Number","459"
"Recorded crime incidents","2009","Social code offences (n.e.c.)","Number","284"
"Recorded crime incidents","2009","Offences against government, justice procedures and organisation of crime","Number","11751"
"Recorded crime incidents","2009","Offences against government and its agents","Number","531"
"Recorded crime incidents","2009","Organisation of crime and conspiracy to commit crime","Number","5"
"Recorded crime incidents","2009","Perverting the course of justice","Number","146"
"Recorded crime incidents","2009","Offences while in custody, breach of court orders","Number","11069"
"Recorded crime incidents","2010","Homicide offences","Number","109"
"Recorded crime incidents","2010","Murder","Number","54"
"Recorded crime incidents","2010","Manslaughter","Number","8"
"Recorded crime incidents","2010","Infanticide","Number","0"
"Recorded crime incidents","2010","Dangerous driving leading to death","Number","47"
"Recorded crime incidents","2010","Sexual offences","Number","2304"
"Recorded crime incidents","2010","Rape of a male or female","Number","470"
"Recorded crime incidents","2010","Defilement of a boy or girl less than 17 years old","Number","156"
"Recorded crime incidents","2010","Sexual offence involving mentally impaired person","Number","15"
"Recorded crime incidents","2010","Aggravated sexual assault","Number","7"
"Recorded crime incidents","2010","Sexual assault (not aggravated)","Number","1485"
"Recorded crime incidents","2010","Other sexual offences","Number","171"
"Recorded crime incidents","2010","Attempts/threats to murder, assaults, harassments and related offences","Number","18239"
"Recorded crime incidents","2010","Murder-attempt","Number","8"
"Recorded crime incidents","2010","Threat to kill or cause serious harm","Number","367"
"Recorded crime incidents","2010","Harassment and related offences","Number","2600"
"Recorded crime incidents","2010","Assault causing harm, poisoning","Number","3680"
"Recorded crime incidents","2010","Other assault","Number","11584"
"Recorded crime incidents","2010","Dangerous or negligent acts","Number","11696"
"Recorded crime incidents","2010","Dangerous driving causing serious bodily harm","Number","19"
"Recorded crime incidents","2010","Driving/in charge of a vehicle while over legal alcohol limit","Number","10309"
"Recorded crime incidents","2010","Driving/in charge of a vehicle under the influence of drugs","Number","577"
"Recorded crime incidents","2010","Endangerment with potential for serious harm/death","Number","56"
"Recorded crime incidents","2010","Abandoning a child, child neglect and cruelty","Number","434"
"Recorded crime incidents","2010","Unseaworthy/dangerous use of boat or ship","Number","10"
"Recorded crime incidents","2010","False alarm/interference with aircraft or air transport facilities","Number","7"
"Recorded crime incidents","2010","Endangering traffic offences","Number","284"
"Recorded crime incidents","2010","Kidnapping and related offences","Number","132"
"Recorded crime incidents","2010","False imprisonment","Number","81"
"Recorded crime incidents","2010","Abduction of person under 16 years of age","Number","22"
"Recorded crime incidents","2010","Human trafficking offences","Number","29"
"Recorded crime incidents","2010","Robbery, extortion and hijacking offences","Number","3237"
"Recorded crime incidents","2010","Robbery of an establishment or institution","Number","1088"
"Recorded crime incidents","2010","Robbery of cash or goods in transit","Number","21"
"Recorded crime incidents","2010","Robbery from the person","Number","1983"
"Recorded crime incidents","2010","Blackmail or extortion","Number","24"
"Recorded crime incidents","2010","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","121"
"Recorded crime incidents","2010","Burglary and related offences","Number","26122"
"Recorded crime incidents","2010","Aggravated burglary","Number","332"
"Recorded crime incidents","2010","Burglary (not aggravated)","Number","25281"
"Recorded crime incidents","2010","Possession of an article (with intent to burgle, steal, demand)","Number","509"
"Recorded crime incidents","2010","Theft and related offences","Number","76657"
"Recorded crime incidents","2010","Theft/taking of vehicle and related offences","Number","11619"
"Recorded crime incidents","2010","Theft from person","Number","2821"
"Recorded crime incidents","2010","Theft from shop","Number","20775"
"Recorded crime incidents","2010","Other thefts, handling stolen property","Number","41442"
"Recorded crime incidents","2010","Fraud, deception and related offences","Number","5510"
"Recorded crime incidents","2010","Controlled drug offences","Number","19783"
"Recorded crime incidents","2010","Importation of drugs","Number","29"
"Recorded crime incidents","2010","Cultivation or manufacture of drugs","Number","532"
"Recorded crime incidents","2010","Possession of drugs for sale or supply","Number","4096"
"Recorded crime incidents","2010","Possession of drugs for personal use","Number","14379"
"Recorded crime incidents","2010","Other drug offences","Number","747"
"Recorded crime incidents","2010","Weapons and Explosives Offences","Number","4116"
"Recorded crime incidents","2010","Explosives, chemical weapons offences","Number","42"
"Recorded crime incidents","2010","Discharging a firearm","Number","179"
"Recorded crime incidents","2010","Possession of a firearm","Number","407"
"Recorded crime incidents","2010","Offensive weapons offences (n.e.c.)","Number","3027"
"Recorded crime incidents","2010","Fireworks offences","Number","461"
"Recorded crime incidents","2010","Damage to property and to the environment","Number","38791"
"Recorded crime incidents","2010","Arson","Number","2573"
"Recorded crime incidents","2010","Criminal damage (not arson)","Number","35981"
"Recorded crime incidents","2010","Litter offences","Number","237"
"Recorded crime incidents","2010","Public order and other social code offences","Number","54850"
"Recorded crime incidents","2010","Disorderly conduct","Number","47294"
"Recorded crime incidents","2010","Trespass offences","Number","3810"
"Recorded crime incidents","2010","Liquor licensing offences","Number","2762"
"Recorded crime incidents","2010","Prostitution offences","Number","184"
"Recorded crime incidents","2010","Regulated betting/money, collection/trading offences","Number","423"
"Recorded crime incidents","2010","Social code offences (n.e.c.)","Number","377"
"Recorded crime incidents","2010","Offences against government, justice procedures and organisation of crime","Number","11195"
"Recorded crime incidents","2010","Offences against government and its agents","Number","335"
"Recorded crime incidents","2010","Organisation of crime and conspiracy to commit crime","Number","18"
"Recorded crime incidents","2010","Perverting the course of justice","Number","99"
"Recorded crime incidents","2010","Offences while in custody, breach of court orders","Number","10743"
"Recorded crime incidents","2011","Homicide offences","Number","79"
"Recorded crime incidents","2011","Murder","Number","42"
"Recorded crime incidents","2011","Manslaughter","Number","10"
"Recorded crime incidents","2011","Infanticide","Number","0"
"Recorded crime incidents","2011","Dangerous driving leading to death","Number","27"
"Recorded crime incidents","2011","Sexual offences","Number","1958"
"Recorded crime incidents","2011","Rape of a male or female","Number","447"
"Recorded crime incidents","2011","Defilement of a boy or girl less than 17 years old","Number","144"
"Recorded crime incidents","2011","Sexual offence involving mentally impaired person","Number","14"
"Recorded crime incidents","2011","Aggravated sexual assault","Number","9"
"Recorded crime incidents","2011","Sexual assault (not aggravated)","Number","1193"
"Recorded crime incidents","2011","Other sexual offences","Number","151"
"Recorded crime incidents","2011","Attempts/threats to murder, assaults, harassments and related offences","Number","17168"
"Recorded crime incidents","2011","Murder-attempt","Number","8"
"Recorded crime incidents","2011","Threat to kill or cause serious harm","Number","393"
"Recorded crime incidents","2011","Harassment and related offences","Number","2090"
"Recorded crime incidents","2011","Assault causing harm, poisoning","Number","3541"
"Recorded crime incidents","2011","Other assault","Number","11136"
"Recorded crime incidents","2011","Dangerous or negligent acts","Number","9686"
"Recorded crime incidents","2011","Dangerous driving causing serious bodily harm","Number","13"
"Recorded crime incidents","2011","Driving/in charge of a vehicle while over legal alcohol limit","Number","8741"
"Recorded crime incidents","2011","Driving/in charge of a vehicle under the influence of drugs","Number","421"
"Recorded crime incidents","2011","Endangerment with potential for serious harm/death","Number","101"
"Recorded crime incidents","2011","Abandoning a child, child neglect and cruelty","Number","197"
"Recorded crime incidents","2011","Unseaworthy/dangerous use of boat or ship","Number","3"
"Recorded crime incidents","2011","False alarm/interference with aircraft or air transport facilities","Number","5"
"Recorded crime incidents","2011","Endangering traffic offences","Number","205"
"Recorded crime incidents","2011","Kidnapping and related offences","Number","115"
"Recorded crime incidents","2011","False imprisonment","Number","77"
"Recorded crime incidents","2011","Abduction of person under 16 years of age","Number","13"
"Recorded crime incidents","2011","Human trafficking offences","Number","25"
"Recorded crime incidents","2011","Robbery, extortion and hijacking offences","Number","2953"
"Recorded crime incidents","2011","Robbery of an establishment or institution","Number","1075"
"Recorded crime incidents","2011","Robbery of cash or goods in transit","Number","42"
"Recorded crime incidents","2011","Robbery from the person","Number","1712"
"Recorded crime incidents","2011","Blackmail or extortion","Number","24"
"Recorded crime incidents","2011","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","100"
"Recorded crime incidents","2011","Burglary and related offences","Number","28211"
"Recorded crime incidents","2011","Aggravated burglary","Number","334"
"Recorded crime incidents","2011","Burglary (not aggravated)","Number","27247"
"Recorded crime incidents","2011","Possession of an article (with intent to burgle, steal, demand)","Number","630"
"Recorded crime incidents","2011","Theft and related offences","Number","76659"
"Recorded crime incidents","2011","Theft/taking of vehicle and related offences","Number","10480"
"Recorded crime incidents","2011","Theft from person","Number","3643"
"Recorded crime incidents","2011","Theft from shop","Number","19913"
"Recorded crime incidents","2011","Other thefts, handling stolen property","Number","42623"
"Recorded crime incidents","2011","Fraud, deception and related offences","Number","5499"
"Recorded crime incidents","2011","Controlled drug offences","Number","17567"
"Recorded crime incidents","2011","Importation of drugs","Number","40"
"Recorded crime incidents","2011","Cultivation or manufacture of drugs","Number","578"
"Recorded crime incidents","2011","Possession of drugs for sale or supply","Number","3815"
"Recorded crime incidents","2011","Possession of drugs for personal use","Number","12604"
"Recorded crime incidents","2011","Other drug offences","Number","530"
"Recorded crime incidents","2011","Weapons and Explosives Offences","Number","3484"
"Recorded crime incidents","2011","Explosives, chemical weapons offences","Number","80"
"Recorded crime incidents","2011","Discharging a firearm","Number","163"
"Recorded crime incidents","2011","Possession of a firearm","Number","283"
"Recorded crime incidents","2011","Offensive weapons offences (n.e.c.)","Number","2614"
"Recorded crime incidents","2011","Fireworks offences","Number","344"
"Recorded crime incidents","2011","Damage to property and to the environment","Number","35133"
"Recorded crime incidents","2011","Arson","Number","2303"
"Recorded crime incidents","2011","Criminal damage (not arson)","Number","32597"
"Recorded crime incidents","2011","Litter offences","Number","233"
"Recorded crime incidents","2011","Public order and other social code offences","Number","48949"
"Recorded crime incidents","2011","Disorderly conduct","Number","42076"
"Recorded crime incidents","2011","Trespass offences","Number","3551"
"Recorded crime incidents","2011","Liquor licensing offences","Number","2310"
"Recorded crime incidents","2011","Prostitution offences","Number","218"
"Recorded crime incidents","2011","Regulated betting/money, collection/trading offences","Number","297"
"Recorded crime incidents","2011","Social code offences (n.e.c.)","Number","497"
"Recorded crime incidents","2011","Offences against government, justice procedures and organisation of crime","Number","10017"
"Recorded crime incidents","2011","Offences against government and its agents","Number","448"
"Recorded crime incidents","2011","Organisation of crime and conspiracy to commit crime","Number","22"
"Recorded crime incidents","2011","Perverting the course of justice","Number","89"
"Recorded crime incidents","2011","Offences while in custody, breach of court orders","Number","9458"
"Recorded crime incidents","2012","Homicide offences","Number","88"
"Recorded crime incidents","2012","Murder","Number","51"
"Recorded crime incidents","2012","Manslaughter","Number","8"
"Recorded crime incidents","2012","Infanticide","Number","0"
"Recorded crime incidents","2012","Dangerous driving leading to death","Number","29"
"Recorded crime incidents","2012","Sexual offences","Number","1976"
"Recorded crime incidents","2012","Rape of a male or female","Number","457"
"Recorded crime incidents","2012","Defilement of a boy or girl less than 17 years old","Number","129"
"Recorded crime incidents","2012","Sexual offence involving mentally impaired person","Number","24"
"Recorded crime incidents","2012","Aggravated sexual assault","Number","7"
"Recorded crime incidents","2012","Sexual assault (not aggravated)","Number","1218"
"Recorded crime incidents","2012","Other sexual offences","Number","141"
"Recorded crime incidents","2012","Attempts/threats to murder, assaults, harassments and related offences","Number","15708"
"Recorded crime incidents","2012","Murder-attempt","Number","9"
"Recorded crime incidents","2012","Threat to kill or cause serious harm","Number","268"
"Recorded crime incidents","2012","Harassment and related offences","Number","1921"
"Recorded crime incidents","2012","Assault causing harm, poisoning","Number","3213"
"Recorded crime incidents","2012","Other assault","Number","10297"
"Recorded crime incidents","2012","Dangerous or negligent acts","Number","8843"
"Recorded crime incidents","2012","Dangerous driving causing serious bodily harm","Number","7"
"Recorded crime incidents","2012","Driving/in charge of a vehicle while over legal alcohol limit","Number","8044"
"Recorded crime incidents","2012","Driving/in charge of a vehicle under the influence of drugs","Number","276"
"Recorded crime incidents","2012","Endangerment with potential for serious harm/death","Number","68"
"Recorded crime incidents","2012","Abandoning a child, child neglect and cruelty","Number","229"
"Recorded crime incidents","2012","Unseaworthy/dangerous use of boat or ship","Number","4"
"Recorded crime incidents","2012","False alarm/interference with aircraft or air transport facilities","Number","8"
"Recorded crime incidents","2012","Endangering traffic offences","Number","207"
"Recorded crime incidents","2012","Kidnapping and related offences","Number","97"
"Recorded crime incidents","2012","False imprisonment","Number","65"
"Recorded crime incidents","2012","Abduction of person under 16 years of age","Number","16"
"Recorded crime incidents","2012","Human trafficking offences","Number","16"
"Recorded crime incidents","2012","Robbery, extortion and hijacking offences","Number","2812"
"Recorded crime incidents","2012","Robbery of an establishment or institution","Number","1014"
"Recorded crime incidents","2012","Robbery of cash or goods in transit","Number","49"
"Recorded crime incidents","2012","Robbery from the person","Number","1614"
"Recorded crime incidents","2012","Blackmail or extortion","Number","38"
"Recorded crime incidents","2012","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","97"
"Recorded crime incidents","2012","Burglary and related offences","Number","28469"
"Recorded crime incidents","2012","Aggravated burglary","Number","282"
"Recorded crime incidents","2012","Burglary (not aggravated)","Number","27439"
"Recorded crime incidents","2012","Possession of an article (with intent to burgle, steal, demand)","Number","748"
"Recorded crime incidents","2012","Theft and related offences","Number","76134"
"Recorded crime incidents","2012","Theft/taking of vehicle and related offences","Number","8480"
"Recorded crime incidents","2012","Theft from person","Number","5013"
"Recorded crime incidents","2012","Theft from shop","Number","19549"
"Recorded crime incidents","2012","Other thefts, handling stolen property","Number","43092"
"Recorded crime incidents","2012","Fraud, deception and related offences","Number","5710"
"Recorded crime incidents","2012","Controlled drug offences","Number","16374"
"Recorded crime incidents","2012","Importation of drugs","Number","30"
"Recorded crime incidents","2012","Cultivation or manufacture of drugs","Number","513"
"Recorded crime incidents","2012","Possession of drugs for sale or supply","Number","3456"
"Recorded crime incidents","2012","Possession of drugs for personal use","Number","11794"
"Recorded crime incidents","2012","Other drug offences","Number","581"
"Recorded crime incidents","2012","Weapons and Explosives Offences","Number","3042"
"Recorded crime incidents","2012","Explosives, chemical weapons offences","Number","90"
"Recorded crime incidents","2012","Discharging a firearm","Number","143"
"Recorded crime incidents","2012","Possession of a firearm","Number","246"
"Recorded crime incidents","2012","Offensive weapons offences (n.e.c.)","Number","2295"
"Recorded crime incidents","2012","Fireworks offences","Number","268"
"Recorded crime incidents","2012","Damage to property and to the environment","Number","32128"
"Recorded crime incidents","2012","Arson","Number","2119"
"Recorded crime incidents","2012","Criminal damage (not arson)","Number","29721"
"Recorded crime incidents","2012","Litter offences","Number","288"
"Recorded crime incidents","2012","Public order and other social code offences","Number","43784"
"Recorded crime incidents","2012","Disorderly conduct","Number","37320"
"Recorded crime incidents","2012","Trespass offences","Number","3319"
"Recorded crime incidents","2012","Liquor licensing offences","Number","1902"
"Recorded crime incidents","2012","Prostitution offences","Number","142"
"Recorded crime incidents","2012","Regulated betting/money, collection/trading offences","Number","296"
"Recorded crime incidents","2012","Social code offences (n.e.c.)","Number","805"
"Recorded crime incidents","2012","Offences against government, justice procedures and organisation of crime","Number","9433"
"Recorded crime incidents","2012","Offences against government and its agents","Number","274"
"Recorded crime incidents","2012","Organisation of crime and conspiracy to commit crime","Number","6"
"Recorded crime incidents","2012","Perverting the course of justice","Number","100"
"Recorded crime incidents","2012","Offences while in custody, breach of court orders","Number","9053"
"Recorded crime incidents","2013","Homicide offences","Number","95"
"Recorded crime incidents","2013","Murder","Number","47"
"Recorded crime incidents","2013","Manslaughter","Number","12"
"Recorded crime incidents","2013","Infanticide","Number","0"
"Recorded crime incidents","2013","Dangerous driving leading to death","Number","36"
"Recorded crime incidents","2013","Sexual offences","Number","1907"
"Recorded crime incidents","2013","Rape of a male or female","Number","392"
"Recorded crime incidents","2013","Defilement of a boy or girl less than 17 years old","Number","87"
"Recorded crime incidents","2013","Sexual offence involving mentally impaired person","Number","12"
"Recorded crime incidents","2013","Aggravated sexual assault","Number","9"
"Recorded crime incidents","2013","Sexual assault (not aggravated)","Number","1280"
"Recorded crime incidents","2013","Other sexual offences","Number","127"
"Recorded crime incidents","2013","Attempts/threats to murder, assaults, harassments and related offences","Number","14366"
"Recorded crime incidents","2013","Murder-attempt","Number","12"
"Recorded crime incidents","2013","Threat to kill or cause serious harm","Number","334"
"Recorded crime incidents","2013","Harassment and related offences","Number","1504"
"Recorded crime incidents","2013","Assault causing harm, poisoning","Number","3071"
"Recorded crime incidents","2013","Other assault","Number","9445"
"Recorded crime incidents","2013","Dangerous or negligent acts","Number","7490"
"Recorded crime incidents","2013","Dangerous driving causing serious bodily harm","Number","12"
"Recorded crime incidents","2013","Driving/in charge of a vehicle while over legal alcohol limit","Number","6748"
"Recorded crime incidents","2013","Driving/in charge of a vehicle under the influence of drugs","Number","265"
"Recorded crime incidents","2013","Endangerment with potential for serious harm/death","Number","69"
"Recorded crime incidents","2013","Abandoning a child, child neglect and cruelty","Number","225"
"Recorded crime incidents","2013","Unseaworthy/dangerous use of boat or ship","Number","2"
"Recorded crime incidents","2013","False alarm/interference with aircraft or air transport facilities","Number","4"
"Recorded crime incidents","2013","Endangering traffic offences","Number","165"
"Recorded crime incidents","2013","Kidnapping and related offences","Number","121"
"Recorded crime incidents","2013","False imprisonment","Number","80"
"Recorded crime incidents","2013","Abduction of person under 16 years of age","Number","25"
"Recorded crime incidents","2013","Human trafficking offences","Number","16"
"Recorded crime incidents","2013","Robbery, extortion and hijacking offences","Number","2796"
"Recorded crime incidents","2013","Robbery of an establishment or institution","Number","988"
"Recorded crime incidents","2013","Robbery of cash or goods in transit","Number","39"
"Recorded crime incidents","2013","Robbery from the person","Number","1678"
"Recorded crime incidents","2013","Blackmail or extortion","Number","25"
"Recorded crime incidents","2013","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","66"
"Recorded crime incidents","2013","Burglary and related offences","Number","26312"
"Recorded crime incidents","2013","Aggravated burglary","Number","299"
"Recorded crime incidents","2013","Burglary (not aggravated)","Number","25331"
"Recorded crime incidents","2013","Possession of an article (with intent to burgle, steal, demand)","Number","682"
"Recorded crime incidents","2013","Theft and related offences","Number","78459"
"Recorded crime incidents","2013","Theft/taking of vehicle and related offences","Number","7359"
"Recorded crime incidents","2013","Theft from person","Number","6469"
"Recorded crime incidents","2013","Theft from shop","Number","20554"
"Recorded crime incidents","2013","Other thefts, handling stolen property","Number","44077"
"Recorded crime incidents","2013","Fraud, deception and related offences","Number","4795"
"Recorded crime incidents","2013","Controlled drug offences","Number","15324"
"Recorded crime incidents","2013","Importation of drugs","Number","44"
"Recorded crime incidents","2013","Cultivation or manufacture of drugs","Number","390"
"Recorded crime incidents","2013","Possession of drugs for sale or supply","Number","3240"
"Recorded crime incidents","2013","Possession of drugs for personal use","Number","11160"
"Recorded crime incidents","2013","Other drug offences","Number","490"
"Recorded crime incidents","2013","Weapons and Explosives Offences","Number","2737"
"Recorded crime incidents","2013","Explosives, chemical weapons offences","Number","59"
"Recorded crime incidents","2013","Discharging a firearm","Number","162"
"Recorded crime incidents","2013","Possession of a firearm","Number","192"
"Recorded crime incidents","2013","Offensive weapons offences (n.e.c.)","Number","2178"
"Recorded crime incidents","2013","Fireworks offences","Number","146"
"Recorded crime incidents","2013","Damage to property and to the environment","Number","28765"
"Recorded crime incidents","2013","Arson","Number","1914"
"Recorded crime incidents","2013","Criminal damage (not arson)","Number","26563"
"Recorded crime incidents","2013","Litter offences","Number","288"
"Recorded crime incidents","2013","Public order and other social code offences","Number","36394"
"Recorded crime incidents","2013","Disorderly conduct","Number","30808"
"Recorded crime incidents","2013","Trespass offences","Number","2941"
"Recorded crime incidents","2013","Liquor licensing offences","Number","1378"
"Recorded crime incidents","2013","Prostitution offences","Number","119"
"Recorded crime incidents","2013","Regulated betting/money, collection/trading offences","Number","321"
"Recorded crime incidents","2013","Social code offences (n.e.c.)","Number","827"
"Recorded crime incidents","2013","Offences against government, justice procedures and organisation of crime","Number","9175"
"Recorded crime incidents","2013","Offences against government and its agents","Number","278"
"Recorded crime incidents","2013","Organisation of crime and conspiracy to commit crime","Number","4"
"Recorded crime incidents","2013","Perverting the course of justice","Number","62"
"Recorded crime incidents","2013","Offences while in custody, breach of court orders","Number","8831"
"Recorded crime incidents","2014","Homicide offences","Number","111"
"Recorded crime incidents","2014","Murder","Number","47"
"Recorded crime incidents","2014","Manslaughter","Number","11"
"Recorded crime incidents","2014","Infanticide","Number","0"
"Recorded crime incidents","2014","Dangerous driving leading to death","Number","53"
"Recorded crime incidents","2014","Sexual offences","Number","1971"
"Recorded crime incidents","2014","Rape of a male or female","Number","482"
"Recorded crime incidents","2014","Defilement of a boy or girl less than 17 years old","Number","126"
"Recorded crime incidents","2014","Sexual offence involving mentally impaired person","Number","12"
"Recorded crime incidents","2014","Aggravated sexual assault","Number","5"
"Recorded crime incidents","2014","Sexual assault (not aggravated)","Number","1240"
"Recorded crime incidents","2014","Other sexual offences","Number","106"
"Recorded crime incidents","2014","Attempts/threats to murder, assaults, harassments and related offences","Number","15170"
"Recorded crime incidents","2014","Murder-attempt","Number","15"
"Recorded crime incidents","2014","Threat to kill or cause serious harm","Number","414"
"Recorded crime incidents","2014","Harassment and related offences","Number","1503"
"Recorded crime incidents","2014","Assault causing harm, poisoning","Number","3163"
"Recorded crime incidents","2014","Other assault","Number","10075"
"Recorded crime incidents","2014","Dangerous or negligent acts","Number","7229"
"Recorded crime incidents","2014","Dangerous driving causing serious bodily harm","Number","13"
"Recorded crime incidents","2014","Driving/in charge of a vehicle while over legal alcohol limit","Number","6477"
"Recorded crime incidents","2014","Driving/in charge of a vehicle under the influence of drugs","Number","265"
"Recorded crime incidents","2014","Endangerment with potential for serious harm/death","Number","74"
"Recorded crime incidents","2014","Abandoning a child, child neglect and cruelty","Number","248"
"Recorded crime incidents","2014","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents","2014","False alarm/interference with aircraft or air transport facilities","Number","5"
"Recorded crime incidents","2014","Endangering traffic offences","Number","146"
"Recorded crime incidents","2014","Kidnapping and related offences","Number","124"
"Recorded crime incidents","2014","False imprisonment","Number","60"
"Recorded crime incidents","2014","Abduction of person under 16 years of age","Number","33"
